AMLD 2019	Applied Machine Learning Days	"EPFL, Lausanne, Switzerland"
DEW 2017	Data Exploration in the Web 3.0 Age (IEEE WETICE 2017 track)	"Poznan, Poland"
ACM-BCB 2017	"8th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics - Call for Tutorials"	"Boston, MA"
GeoRich 2017	GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5	TBD
GeoRich 2017	GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES	TBD
NetCrime 2017	Symposium on the Structure and Mobility of Crime	"Indianapolis, Indiana, USA"
DATA 2017	"6th International Conference on Data Science, Technology and Applications"	"Madrid, Spain"
FUSION 2017	20th International Conference on Information Fusion	"Xi'an, China"
KDD 2017	Call for Workshop Proposals	"Halifax, Nova Scotia, Canada"
KDD 2017	Call for Tutorials	"Halifax, Nova Scotia, Canada"
LDK 2017	"Language, Data and Knowledge"	Galway/Ireland
IJSE-SI-EMOM 2017	Special Issue on: Advances in Emotion mining and Opinion mining(IJSE)	Locationunavailable
GeoRich @ ACM SIGMOD/PODS 2017	GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	"Raleigh, NC, USA"
KDD 2017	Call for Research Papers	"Halifax, Nova Scotia, Canada"
KDD 2017	Call for Applied Data Science Papers	"Halifax, Nova Scotia, Canada"
FASOMA 2017	Special Session on Foundations and Applications of Social Media Analysis	"Naples, Italy"
HAIS 2017	The 12th International Conference on Hybrid Artificial Intelligence Systems	LogroÃ±o (La Rioja) Spain
KES IDT DSS 2017	extended deadline and scope of the KES IDT DSS 2017 : KES IDT - Decision Support Systems - Special Session	"Vilamoura, Algarve, Portugal"
HAIS 2017	The 12th International Conference on Hybrid Artificial Intelligence Systems	"La Rioja, Spain"
KES IDT DSS 2017	KES IDT - Decision Support Systems - Special Session	"Vilamoura, Algarve, Portugal"
ISMIS 2017	23rd International Symposium on Methodologies for Intelligent Systems	"Warsaw, Poland"
WASMM 2017	Web and Social Media Mining- PAAMS Special Session	"Porto, Portugal"
ADMI 2017	Agents and Data Mining Interaction@AAMAS2017	"Sao Paulo, Brazil"
MLRec 2017	MLRec 2017 : 3rd International Workshop on Machine Learning Methods for Recommender Systems	"Houston, TX"
EnGeoData - JDSA 2017	"Special Issue on Environmental and Geospatial Data Analytics - International Journal of Data Science and Analytics, Springer"	Locationunavailable
HDMM 2017	2nd International Workshop on Health Data Management and Mining (HDMM) 2017	"San Diego, CA"
CEC SS on Eng Appl 2017	CEC 2017 Special Session on Engineering Applications of Evolutionary Computation	"Donostia â€“ San SebastiÃ¡n, Spain"
SOCS 2018	Symposium on Combinatorial Search	Stockholm
CoSIT 2019	6th International Conference on Computer Science and Information Technology (CoSIT 2019)	"Dubai, UAE"
MEIJ 2018	Mechanical Engineering: An International Journal	Locationunavailable
IT 2019	8th International Conference on Information Theory	"Vancouver, Canada"
NET 2019	3rd International Conference on Networks and Communications	"Chennai, India"
"ICBDSC--ACM, Ei & Scopus 2019"	ACM--2019 2nd International Conference on Big Data and Smart Computing (ICBDSC 2019)--Ei Compendex & Scopus	"Bali, Indonesia"
NCOM 2019	5 th International Conference on Networks & Communications	"Toronto, Canada"
BIOENG 2018	3rd International Conference on Bioscience & Engineering (BIOENG 2018)	"Dubai, UAE"
SIPM 2019	7th International Conference on Signal Image Processing and Multimedia	"Melbourne, Australia"
DKMP 2019	7th International Conference on Data Mining & Knowledge Management Process	"Toronto, Canada"
SCAI 2018	"7th International Conference On Soft Computing, Artificial Intelligence And Applications"	"Sydney , Australia"
IJDKP 2018	International Journal of Data Mining & Knowledge Management Process	Locationunavailable
SIPRO 2019	5th International Conference on Signal and Image Processing	"Toronto, Canada"
CCSEA 2019	"9th International Conference on Computer Science, Engineering and Applications"	"Toronto, Canada"
DMDB 2019	6th International Conference on Data Mining and Database	"Vancouver, Canada"
CoNeCo 2019	11th International Conference on Computer Networks & Communications	"Melbourne, Australia"
DMA 2019	5th International Conference on Data Mining and Applications	"Dubai, UAE"
Meche 2018	6th International Conference On Mechanical Engineering	"Dubai, UAE"
DaKM 2018	3rd International Conference on Data Mining & Knowledge Management	"Dubai, UAE"
NCWMC 2018	"3rd International Conference on Networks, Communications, Wireless and Mobile Computing"	"Dubai, UAE"
IJAIT 2018	International Journal of Advanced Information Technology	Locationunavailable
IJPLA 2018	International Journal of Programming Languages and Applications	Locationunavailable
JoL 2018	International Journal of Law	Locationunavailable
IJGCA 2018	International Journal of Grid Computing & Applications	Locationunavailable
IJMSA 2018	"International Journal of Modelling, Simulation and Applications"	Locationunavailable
IJCSIT 2018	International Journal of Computer Science and Information Technology - INSPEC Listed	Locationunavailable
IJITCA 2018	"International Journal of Information Technology, Control and Automation"	Locationunavailable
IJDMS 2018	International Journal of Database Management Systems	Locationunavailable
IJMA 2018	International Journal of Multimedia & Its Applications -- ERA Indexed	Locationunavailable
ICBDM--Ei and Scopus 2019	2019 the 2nd International Conference on Big Data Management (ICBDM 2019)--Ei Compendex and Scopus	"Zhuhai, China"
ICGDA--Ei and Scopus 2019	2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus	"Prague, Czech Republic"
AKBC 2019	1st Conference on Automated Knowledge Base Construction (AKBC)	"Amherst, MA"
ICBCT--EI and Scopus 2019	2019 International Conference on Blockchain Technology (ICBCT 2019)--EI Compendex and Scopus	"Honolulu, Hawaii, the United States"
"ICISDM--ACM, Ei and Scopus 2019"	ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus	"University of Houston, Texas, USA"
ICBDE--Ei Compendex and Scopus 2019	2019 2nd International Conference on Big Data and Education (ICBDE 2019)--Ei Compendex and Scopus	"London, UK"
ICCCBDA--Ei Compendex and Scopus 2019	2019 the 4th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2019)--Ei Compendex and Scopus	"Chengdu, China"
ICCDE----Ei Compendex and Scopus 2019	2019 5th International Conference on Computing and Data Engineering (ICCDE 2019)--Ei Compendex and Scopus	"Shanghai, China"
"ACM--ICDPA--Scopus, Ei 2019"	"ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex"	"Shanghai, China"
BDAI--Ei Compendex and Scopus 2019	2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus	"Guangzhou, China"
DSDE--Ei and Scopus 2019	2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus	"Jeju Island, South KoreaJeju Island, Sou"
ER 2019	38th International Conference on Conceptual Modeling	"Salvador, Bahia, Brazil"
Call for Participants 2018	2018 International Conference on Environmental and Water Resources Engineering (EWRE 2018)	"Jeju Island, Korea"
Call for Participants 2018	2018 International Conference on Green Energy and Sustainable Development (GESD 2018)	"Jeju Island, Korea"
ACM--ICBTA--Ei and Scopus 2018	ACM--2018 International Conference on Blockchain Technology and Applications (ICBTA 2018)--Ei Compendex and Scopus	"Xi'an, China"
MEN 2018	3rd International Conference on Mechanical Engineering	"Dubai,UAE"
Call for Chapter (IGI Global) 2018	Advanced Data Modeling and Processing With JSON	USA
BDIOT--Ei and Scopus 2018	2018 2nd International Conference on Big Data and Internet of Things (BDIOT 2018)--Ei Compendex and Scopus	"Beijing, China"
CoDS-COMAD 2019	ACM India Joint International Conference on Data Science and Management of Data (CoDS-COMAD) 2019	"Kolkata, India"
E&C 2018	3rd International Conference on Electrical & Computer Engineering	"Dubai,UAE"
AISO 2018	4th International Conference on Artificial Intelligence and Soft Computing	"Dubai,UAE"
EEEN 2018	3rd International Conference on Electrical and Electronics Engineering	"Dubai,UAE"
ACM--BDET--Ei and Scopus 2018	ACM--2018 International Conference on Big Data Engineering and Technology (BDET 2018)--Ei Compendex and Scopus	"Chengdu, China"
"ArtsIT (Ei, ISI, Scopus) 2018"	"7th EAI International Conference: ArtsIT, Interactivity & Game Creation -- Springer, Ei Compendex, ISI Web of Science, Scopus"	"Portugal, Braga"
SOFT 2018	4th International Conference on Software Engineering	"Chennai,India"
ACM--ICCBDC--Ei Compendex and Scopus 2018	"2018 2nd International Conference on Cloud and Big Data Computing (ICCBDC 2018)--ACM, Ei Compendex and Scopus"	"Barcelona, Spain"
PODS 2019	Symposium on Principles of Database Systems	Amsterdam
DMAP 2018	4th International Conference on Data Mining and Applications	"Dubai, UAE"
BDA 2018	"34Ã¨me ConfÃ©rence sur la Gestion de DonnÃ©es â€“ Principes, Technologies et Applications"	"Bucarest, Romania"
TIME 2018	TIME 2018 first call for papers	Warsaw
"ICDDM--IEEE Xplore, Ei and Scopus 2018"	"2018 7th International Workshops on Database and Data Mining (ICDDM 2018)--IEEE Xplore, Ei and Scopus"	"Chongqing, China"
ECML-PKDD 2018	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	"Dublin, Ireland"
ER 2018	37th International Conference on Conceptual Modeling	"Xiâ€™an, Shaanxi province, China"
ADBIS 2018	The 22nd European Conference on Advances in Databases and Information Systems	"Budapest, Hungary"
DATA 2018	"7th International Conference on Data Science, Technology and Applications"	"Porto, Portugal"
AMW 2018	Alberto Mendelzon Workshop on Foundations of Data Management 2018	"Cali, Colombia"
BDAS 2018	"14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)"	"Poznan, Poland"
FoIKS 2018	10th International Symposium on Foundations of Information and Knowledge Systems	"Budapest, Hungary"
COMOREA 2018	14th Workshop on Context and Activity Modeling and Recognition	Athens
EDBT 2018	21st International Conference on Extending Database Technology	"Vienna, Austria"
IEEE Big Data 2017	2017 IEEE International Conference on Big Data	"Boston, MA, USA"
DILS 2017	12th International Conference on Data Integration in Life Science	Luxembourg
ICDM 2017	IEEE International Conference on Data Mining 2017	"NEW ORLEANS, USA"
SBBD 2017	32nd Brazilian Symposium on Databases	"Uberlandia, MG - Brazil"
CIKM 2017	The 26th 2017 ACM Conference on Information and Knowledge Management	SINGAPORE
WISE 2017	WISE 2017: The 18th International Conference on Web Information Systems Engineering	"Moscow, Russia"
FDM 2017	Digital processes and information systems in research data management	Chemnitz
TIME 2017	24th International Symposium on Temporal Representation and Reasoning	"Mons, Belgium"
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	"Nicosia, Cyprus"
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	"Hilton Hotel Cyprus, Nicosia"
IDEAS 2017	21st International Database Engineering & Applications Symposium	Bristol
DEBS 2017	11th ACM International Conference on Distributed and Eventâ€êbased Systems	"Barcelona, Spain, Europe"
GeoRich 2017	GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5	TBD
GeoRich 2017	GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES	TBD
DATA 2017	"6th International Conference on Data Science, Technology and Applications"	"Madrid, Spain"
WebDB 2017	International Workshop on the Web and Databases	"Chicago, IL, USA"
GeoRich @ ACM SIGMOD/PODS 2017	GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	"Raleigh, NC, USA"
Computational Intelligence in RDF 2017	Call for Book Chapters: Computational Intelligence in RDF Data Management (being published by Springer-Verlag)	Locationunavailable
DCIRS - 2017	The Second International Workshop on Database and Computerized Information Retrieval Systems	"Trieste, Italy"
SBD 2017	Semantic Big Data	"Raleigh, USA"
ADBIS - Workshops 2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	"Nicosia, Cyprus"
ACTIVE 2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	"San Diego, CA"
BDAS 2017	"13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures"	"Ustron near Krakow (Cracow), Poland"
DASFAA 2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
ICDE 2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego
BTW 2017	"The 17th Conference on Database Systems for Business, Technology, and Web"	"Stuttgart, Germany"
ISDSA 2016	First International Symposium on Data Science and Applications	"Milan, Italy"
SIGMOD 2017	2017 ACM SIGMOD Conference	Raleigh
CITI 2016	2nd International Conference on Technologies and Innovation	"Guayaquil, Ecuador"
BDTA 2016	7th EAI International Conference on Big Data Technologies and Applications	"Seoul, South Korea"
RuleML Challenge 2016	10th International Rule Challenge 2016	"Stony Brook University, New York, USA"
QDB 2016	VLDB Workshop on Quality in Databases	"New Delhi, India"
PQ 2016	Process Querying 2016	"Rio de Janeiro, Brazil"
SoCC 2016	ACM Symposium on Cloud Computing (SoCC) 2016	"Santa Clara, California, USA"
SISAP 2016	9th International Conference on Similarity Search and Applications	"Tokyo, Japan"
APWeb 2016	Asia-Pacific Web Conference	Suzhou
CN4IoT 2016	"2nd EAI International Conference on Cloud, Networking for IoT systems"	Brindisi
GvDB 2016	27.GI-Workshop - Grundlagen von Datenbanken	"NÃ¶rten-Hardenberg, Germany"
ER 2016	Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu (Japan)
VLDB 2016	42nd international conference on very large data bases	New Delhi
"Baltic DB&IS, DC 2016"	"Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016"	"Riga, Latvia"
BDAS 2016	"12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures"	"Ustron near Krakow (Cracow), Poland"
BDQM 2016	The 1st International Workshop on Big Data Quality Management	"Dallas, TX"
TRANSACT 2016	11th ACM SIGPLAN Workshop on Transactional Computing	"Barcelona, Spain"
ICDE 2016	International Conference on Data Engineering	"Helsinki, Finland"
COMAD 2016	"Conference on Management of Data, 2016"	"Pune, India"
ICDM 2015	ICDM 2015 Student Travel Grants	"Atlantic City, NJ, USA"
SIGMOD 2016	ACM International Conference on Management of Data	"San Francisco, USA"
ESAIR 2015	8th Workshop on Exploiting Semantic Annotations for Information Retrieval	"Melbourne, Australia"
ICDM 2015	International Conference on Data Mining	"Atlantic City, NJ, USA"
OJIOT 2015	Internet of Ubiquitous and Pervasive Things	Locationunavailable
SISAP 2015	8th International Conference on Similarity Search and Applications	"Glasgow, UK"
DSAA 2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
GID 2015	ADBIS workshop on GPUs in Databases	"Poitiers, France"
SUM 2015	Ninth International Conference on Scalable Uncertainty Management	"Quebec, Canada"
KAM 2015	21st Conference on Knowledge Acquisition and Management	"Lodz, Poland"
COSIT 2015	12th International Conference on Spatial Information Theory	"Santa Fe, New Mexico, USA."
SSTD 2015	14th International Symposium on Spatial and Temporal Databases	"Seoul, South Korea"
DaWaK 2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	"Valencia, Spain"
JWS-SI-KG 2015	Journal of Web Semantics special issue on knowledge graphs	Locationunavailable
VLDB 2015	41st International Conference on Very Large Data Bases	"Kohala Coast, Hawaii, USA"
ADC 2015	Australasian Database Conference	Melbourne
IUPT 2015	The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	"London, UK"
ADBIS - 2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers
DAPHNE 2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	"Brussels, Belgium"
ICICS 2015	The 6th IEEE International Conference on Information and Communication Systems	"Amman, Jordan"
BDAS 2015	"11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures"	"Ustron near Krakow, Poland"
DASFAA (Demo Track) 2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	"Hanoi, Vietnam"
SIGMOD 2015	International Conference on Management of Data	"Melbourne, VIC, Australia"
Big Data in Cloud Computing 2014	Call for Book Chapters: Managing Big Data in Cloud Computing Environments	Locationunavailable
DBDBD 2014	The Dutch-Belgian Database Day 2014	"Antwerp, Belgium"
SCDM 2014	2nd Scalable Cloud Data Management Workshop	Washington DC
COMAD 2014	International Conference on Management of Data (COMAD)	"Hyderabad, India"
BBH 2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	"Washington D.C., USA"
IDAM 2014	The 4th Intelligent Data Analysis and Management	"Kaohsiung, Taiwan"
SDA 2014	4th International Workshop on Semantic Digital Archives (SDA)	London
ICCIDM 2014	"International Conference on Computational Intelligence in Data Mining, Springer"	"Odisha, India"
ICDM 2014	IEEE International Conference on Data Mining	"Shenzhen, China"
ICDM 2014	[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining	"Shenzhen, China"
ODBASE 2014	"The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems"	"Amantea, Italy"
FDSE 2014	The 1st International Conference on Future Data and Security Engineering 2014	"Ho Chi Minh City, Vietnam"
DAB 2014	3rd International Workshop on Data- and Artifact-Centric BPM	"Haifa, Israel"
BIRTE 2014	Eighth International Workshop on Real-Time Business Intelligence	"Hangzhou, China"
BigSys 2014	Workshop on System Software Support for Big Data	"Stuttgart, Germany"
SISAP (LNCS and IS Journal) 2014	7th International Conference on Similarity Search and Applications	"Los Cabos, Mexico"
GID 2014	ADBIS workshop on GPUs in Databases	"Ohrid, Republic of Macedonia"
GID 2014	ADBIS Workshop on GPUs In Databases	"Ohrid, Republic of Macedonia"
EnviroInfo 2014	28th International Conference on Informatics for Environmental Protection	"Oldenburg, Lower Saxony, Germany"
SBBD 2014	Brazilian Symposium on Databases - JIDM articles	"Curitiba, Brazil"
APWeb 2014	Call for Demo: The 16th Asia-Pacific Web Conference	"Changsha, China"
JISBD 2014	Jornadas de IngenierÃ_a del Software y Bases de Datos	Cadiz (Spain)
PBDA 2014	Performance of Business Database Applications	"Warsaw, Poland"
DanaC 2014	Workshop on Data Analytics in the Cloud	"Songbird, Utah, U.S.A"
RDSS 2014	Workshop on Reliable Data Services and Systems	"Snowbird, Utah, USA"
GRADES 2014	GRAph Data-management Experiences and Systems	"Snowbird (Utah), USA"
ATGRC 2014	"The International Workshop on Advanced Technologies for Governance, Risk and Compliance"	"Munich, Germany"
WebDB 2014	International Workshop on the Web and Databases	"Snowbird, Utah, USA"
NoSQL-Net 2014	1st International Workshop on NoSQL Databases and Linked Data Applications	"Munich, Germany"
DaMoN 2014	Tenth International Workshop on Data Management on New Hardware	"Snowbird, Utah, USA"
HardBD 2014	The Second International Workshop on Big Data Management on Emerging Hardware	"Macau, China"
SEBD 2014	The 22nd Italian Symposium on Advanced Database Systems	"Sorrento Coast, Italy"
BUDA 2014	Workshop on Big Uncertain Data	"Snowbird, Utah, USA"
DSMM 2014	Workshop on Data Science for Macro-Modeling	"Snowbird, Utah, USA"
SWEET 2014	3rd International Workshop on Scalable Workflow Enactment Engines and Technologies	"Snowbird, Utah, USA"
DATA 2014	Int'l Conf. on Data Management Technologies and Applications	"Vienna, Austria"
DaWaK 2014	16th International Conference on Data Warehousing and Knowledge Discovery	"Munich, Germany"
AECM 2014	Workshop on Applied Enterprise Content Management	"Munich, Germany"
Cloud-I@IS 2013	Information Sciences special issue on Cloud Intelligence	Locationunavailable
VLDB 2014	40th International Conference on Very Large Data Bases	"Hangzhou, China"
DC @ Baltic DB&IS 2014	"Call for PhD Consortium - 11th International Baltic Conference on DB and IS, DB&IS2014 / June 9, 2014, Tallinn, ESTONIA"	"Tallinn, Estonia"
Baltic DB&IS 2014	"The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014"	"Tallinn, ESTONIA"
IUPT 2014	The 4th International Symposium on Internet of Ubiquitous and Pervasive Things	"Hasselt, Belgium"
DILS 2014	10th International Conference on Data Integration in the Life Sciences	"Lisbon, Portugal"
SYRCoDIS 2014	The 10th Spring Researchers Colloquium on Databases and Information Systems	"Veliky Novgorod, Russia"
ADC 2014	The 25th Australasian Database Conference	"Brisbane, Australia"
MDM 2014	15th IEEE International Conference on Mobile Data Management	"Brisbane, Australia"
Graph-TA 2014	Workshop on Graph-based Technologies and Applications	Barcelona
iCICS 2014	The 5th IEEE International Conference on Information and Communication Systems	"Irbid, Jordan"
DEOS 2014	4th Workshop on Data Extraction and Object Search	"Seoul, South Korea"
BDAS 2014	"10th IEEE International Conference Beyond Databases, Architectures and Structures"	"Ustron, Poland"
DNIS 2014	9th International Workshop on Databases in Networked Information Systems	"University of Aizu, Aizu-Wakamatsu, Japan"
DMC 2014	International Workshop on Data Management in the Cloud	"Chicago, IL, United States of America"
EnDM 2014	3rd International Workshop on Energy Data Management	"Athens, Greece"
LWDM 2014	4th International Workshop on Linked Web Data Management	"Athens, Greece"
PODS 2014	33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	"Snowbird, Utah, USA"
GraphQ 2014	The Third International Workshop on Querying Graph Structured Data	"Athens, Greece"
NTMS 2014	"Sixth IFIP International Conference on New Technologies, Mobility and Security"	"Dubai, UAE"
SMDB 2014	9th International Workshop on Self-Managing Database Systems	"Chicago IL, USA"
CloudDB 2014	The 6th International workshop on Cloud Data Management	"Chicago, IL USA"
PAKDD (Tutorial) 2014	PAKDD 2014: CALL FOR TUTORIAL PROPOSALS	"Tainan, Taiwan"
ExData CiSE 2014	"Special Issue on Extreme Data, Computing inScience & Engineering"	Locationunavailable
GDM 2014	The 3rd International Workshop on Graph Data Management: Techniques and Applications	"Chicago, IL, USA"
EDBT/ICDT Tutorials 2014	EDBT/ICDT 2014 Call for Tutorials	"Athens, Greece"
DMS 2013	Fifth International conference on Database Management Systems	"Zurich, Switzerland"
EDBT 2014	International Conference on Extending Database Technology	"Athens, Greece"
DBDBD 2013	The Dutch-Belgian Database Day	"Rotterdam, Netherlands"
SITIS 2013	Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA	"Kyoto Terrsa, Japan"
FoIKS 2014	Eighth International Symposium on Foundations of Information and Knowledge Systems	"Bordeaux, France"
ICECIT 2013	International Conference on Emerging Computation & Information Technologies	Tumkur
DaEng 2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	"Kuala Lumpur, Malaysia"
APCCM 2014	Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland
APCCM 2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	"Adelaide, South Australia, Australia"
COMAD 2013	19th International Conference on Management of Data	"Ahmedabad, India"
ICIA 2013	The Second International Conference on Informatics and Applications	"Lodz, Poland"
TIDM 2013	The First International Workshop on TeraScale In-Core Data Mining	"Dallas, Texas"
BiDaDA 2013	1st Workshop on Biological Data mining and Database Applications	"Dallas, Texas, USA"
SIN 2013	The 6th International Conference on Security of Information and Networks (SIN 2013)	"Aksaray, Turkey"
EDBT/ICDT Workshops 2014	EDBT/ICDT 2014 Call for Workshop Proposals	"Athens, Greece"
ICDE 2014	IEEE International Conference on Data Engineering	"Chicago, USA"
SoCC 2013	ACM Symposium on Cloud Computing	"San Jose, CA"
BDSAV 2013	"The 1st International Workshop on Big Data Storage, Analytics, and Visualization"	"Washington D.C., United States"
CloudDB 2013	The Fifth International workshop on Cloud Data Management	San Franciso
RWVW 2013	International Workshop on Predicting Real World Behaviors from Virtual World Data	"Boston, MA, USA"
DOLAP 2013	16th International Workshop on Data Warehousing and OLAP	"Burlingame, CA, USA"
NoCoDA 2013	2nd Intl Workshop on Non-Conventional Data-Access	"San Francisco, CA, USA"
DiPP 2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	"Veliko Tarnovo, Bulgaria"
Cloud-I 2013	2nd International Workshop on Cloud Intelligence	"Riva del Garda, Trento, Italy"
DBPL 2013	14th International Symposium on Database Programming Languages	"Trento, Italy"
PersDB 2013	"The 7th International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases"	"Riva del Garda, Trento, Italy"
DBCrowd 2013	First VLDB Workshop on Databases and Crowdsourcing	"Riva del Garda, Italy"
QDB 2013	11th International Workshop on Quality in DataBases	"Trento, Italy"
BIRTE 2013	Seventh International Workshop on Real-Time Business Intelligence	"Trento, Italy"
IDEAS 2013	17th International Database Engineering & Applications Symposium	Barcelona
DAB 2013	2nd International Workshop on Data and Artifact-Centric BPM	"Beijing, China"
DIM 2013	The Second IEEE International Workshop on Data Integration and Mining	"San Francisco, USA"
ISWC-InUse 2013	The 12th International Semantic Web Conference - In Use Track	"Sydney, Australia"
ODBASE 2013	"The 12th International Conference on Ontologies, DataBases, and Applications of Semantics"	"Graz, Austria"
CLEI 2013	XXXIX Conferencia Latinoamericana en InformÃ¡tica	"NaiguatÃ¡, VENEZUELA"
CLEI 2013	XXXIX Latin-American Conference on Computer Sciences	"NaiguatÃ¡, VENEZUELA"
CLTM 2013	LATIN-AMERICAN MASTER THESIS CONTEST	"NaiguatÃ¡, VENEZUELA"
CIESC 2013	XXI Iberoamerican Congress on Higher Education in Computing	"NaiguatÃ¡, VENEZUELA"
BiDaTA 2013	Adbis Special session on Big Data: New Trends and Applications	"Genoa, Italy"
CSE 2013	The International Workshop on Cloud and Service Engineering	"Aalborg, Denmark"
ICDIM 2013	Eighth International Conference on Digital Information Management	Islamabad
RSmeetDB 2013	3rd Workshop on Recommender Systems meet Databases	"Prague, Czech Republic"
MEDI 2013	Third International Conference On Model and Data Engineering	"Amantea, Calabria, Italy"
SoEA4EE 2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	"Vancouver, Canada"
SEBD 2013	21th Italian Symposium on Advanced Database Systems	Roccella Jonica (RC) - ITALY
IMDM 2013	First Workshop on In-Memory Data Management - Applications and Architectures	"Koblenz, Germany"
GRADES 2013	Graph Data-management Experiences and Systems	"New York, NY, USA"
SI-MCS 2013	"CFP: Mathematics in Computer Science, Special Issue on Mathematics, Data and Knowledge"	Mathematics in Computer Science
CPS 2013	Special Session on Cooperative Problem Solving	"Craiova, Romania"
MobiDE 2013	12th International ACM Workshop on Data Engineering for Wireless and Mobile Access	"New York, USA"
DEXA 2013	24th International Conference on Database and Expert Systems Applications	"Prague, Czech Republik"
DaWaK 2013	15th International Conference on Data Warehousing and Knowledge Discovery	"Prague, Czech Republic"
DBSocial 2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	"New York, NY, USA"
DaMoN 2013	Ninth International Workshop on Data Management on New Hardware	"New York, NY, USA"
SWEET 2013	2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	"New York, NY, USA"
WOD 2013	2nd International Workshop on Open Data	"Paris, France"
WebDB 2013	16th International Workshop on the Web and Databases	"New York, NY, USA"
DEOS 2013	Workshop on Data Extraction and Object Search	"Oxford, United Kingdom"
DyNetMM 2013	First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	"New York, USA"
VLDB 2013	International Conference on Very Large Data Bases	"Lago Di Garda, Trento, Italy"
SSTD 2013	13th International Symposium on Spatial and Temporal Databases	"Munich, Germany"
miproBIS 2013	Business Intelligence Systems	"Opatija, Croatia"
DILS 2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	"Montreal, Quebec, Canada"
iCICS 2013	The 4th International Conference on Information and Communication Systems	"Irbid, Jordan"
BNCOD 2013	29th British National Conference on Databases	"University of Oxford, United Kingdom"
ICWS 2013	IEEE 20th International Conference on Web Services	"Santa Clara, CA, USA"
AMW 2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	"Puebla/Cholula, Mexico"
SYRCoDIS 2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	"Kazan, Russia"
DMC 2013 at BTW 2013	1st Workshop on Data Management in the Cloud	"Magdeburg, Germany"
BDAS 2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	"Ustron, Poland"
PAIS 2013	6th International Workshop on Privacy and Anonymity in the Information Society	"Genoa, Italy"
DaMEN 2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	"Sydney, Australia"
GraphQ 2013	The Second International Workshop on Querying Graph Structured Data	"Genoa, Italy"
